Aplikacija ukljucena        (13-Apr-17 5:38:54 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (13-Apr-17 5:46:37 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (13-Apr-17 5:46:39 PM)
The process cannot access the file 'C:\Users\Lab Control\Desktop\vlatest_8 februar 2017 sim 1920 x 1080 v2\testTensileMachineGraphics\bin\Release\configuration\ForceRangesonlineOptions.xml' because it is being used by another process.[OptionsOnline.xaml.cs] {private void writeXMLFile()}        (13-Apr-17 5:46:40 PM)
[private void setRp02PointCalculated(int indexOfRp02, double x, double y) ]{if (indexOfRp02 == dataReader.FittingPreassureInMPa.Count)}        (13-Apr-17 5:46:40 PM)
Aplikacija ukljucena        (13-Apr-17 5:50:14 PM)
The process cannot access the file 'C:\Users\Lab Control\Desktop\vlatest_8 februar 2017 sim 1920 x 1080 v2\testTensileMachineGraphics\bin\Release\configuration\ForceRangesonlineOptions.xml' because it is being used by another process.[OptionsOnline.xaml.cs] {private void writeXMLFile()}        (13-Apr-17 5:50:23 PM)
Aplikacija iskljucena        (13-Apr-17 5:50:43 PM)
Aplikacija ukljucena        (13-Apr-17 5:50:52 PM)
The process cannot access the file 'C:\Users\Lab Control\Desktop\vlatest_8 februar 2017 sim 1920 x 1080 v2\testTensileMachineGraphics\bin\Release\configuration\ForceRangesonlineOptions.xml' because it is being used by another process.[OptionsOnline.xaml.cs] {private void writeXMLFile()}        (13-Apr-17 5:51:01 PM)
The process cannot access the file 'C:\Users\Lab Control\Desktop\vlatest_8 februar 2017 sim 1920 x 1080 v2\testTensileMachineGraphics\bin\Release\configuration\ForceRangesonlineOptions.xml' because it is being used by another process.[OptionsOnline.xaml.cs] {private void writeXMLFile()}        (13-Apr-17 5:51:27 PM)
Aplikacija iskljucena        (13-Apr-17 5:52:30 PM)
Aplikacija ukljucena        (13-Apr-17 5:54:23 PM)
The process cannot access the file 'C:\Users\Lab Control\Desktop\vlatest_12 april 2017 1920 x 1080 v2\testTensileMachineGraphics\bin\Release\configuration\ForceRangesonlineOptions.xml' because it is being used by another process.[OptionsOnline.xaml.cs] {private void writeXMLFile()}        (13-Apr-17 5:54:30 PM)
Aplikacija ukljucena        (13-Apr-17 5:56:48 PM)
Access to the port 'COM8' is denied.[OnlineMode.xaml.cs] {public OnlineMode(bool simulationM = false)}        (13-Apr-17 5:56:48 PM)
The process cannot access the file 'C:\Users\Lab Control\Desktop\vlatest_12 april 2017 1920 x 1080 v2\testTensileMachineGraphics\bin\Release\configuration\ForceRangesonlineOptions.xml' because it is being used by another process.[OptionsOnline.xaml.cs] {private void writeXMLFile()}        (13-Apr-17 5:56:54 PM)
The process cannot access the file 'C:\Users\Lab Control\Desktop\vlatest_12 april 2017 1920 x 1080 v2\testTensileMachineGraphics\bin\Release\configuration\ForceRangesonlineOptions.xml' because it is being used by another process.[OptionsOnline.xaml.cs] {private void writeXMLFile()}        (13-Apr-17 5:57:03 PM)
Error in the application.[OnlineMode.xaml.cs] {private void StartStream()}        (13-Apr-17 5:57:19 PM)
Error in the application.[OnlineMode.xaml.cs] {private void StartStreamWithEkstenziometar()}        (13-Apr-17 5:57:51 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine2()}        (13-Apr-17 5:57:51 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (13-Apr-17 5:57:52 PM)
Aplikacija iskljucena        (13-Apr-17 5:58:00 PM)
Aplikacija iskljucena        (13-Apr-17 5:58:03 PM)
Aplikacija ukljucena        (13-Apr-17 6:00:16 PM)
The process cannot access the file 'C:\Users\Lab Control\Desktop\vlatest_12 april 2017 1920 x 1080 v2\testTensileMachineGraphics\bin\Release\configuration\ForceRangesonlineOptions.xml' because it is being used by another process.[OptionsOnline.xaml.cs] {private void writeXMLFile()}        (13-Apr-17 6:00:26 PM)
The process cannot access the file 'C:\Users\Lab Control\Desktop\vlatest_12 april 2017 1920 x 1080 v2\testTensileMachineGraphics\bin\Release\configuration\ForceRangesonlineOptions.xml' because it is being used by another process.[OptionsOnline.xaml.cs] {private void writeXMLFile()}        (13-Apr-17 6:00:33 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (13-Apr-17 6:00:39 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (13-Apr-17 6:00:39 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (13-Apr-17 6:00:40 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (13-Apr-17 6:00:40 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (13-Apr-17 6:00:41 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (13-Apr-17 6:00:42 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (13-Apr-17 6:00:42 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (13-Apr-17 6:00:44 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (13-Apr-17 6:00:45 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (13-Apr-17 6:00:45 PM)
